"team","country","overall_points_team","overall_points_country","percentage","flag","text","stadium","latitude","longitude"
"Kilmarnock","Scotland",36.9,36.9,0,":gb-sct:","Scotland: 36.9 points","Rugby Park",55.604225,-4.508122
"Kolos Kovalivka","Ukraine",31.8,31.8,0,":ua:","Ukraine: 31.8 points","Kolos Stadium",49.985833333,30.008333333
"Konyaspor","Turkey",27.1,27.1,0,":tr:","Turkey: 27.1 points","Konya Atatürk Stadium",37.865389,32.483278
"KR Reykjavik","Iceland",5.4,5.375,0.1,":is:","Iceland: 5.375 points","KR-völlur",64.145683,-21.967728
"KuPS Kuopio","Finland",8.9,8.875,0.3,":fi:","Finland: 8.875 points","Kehrweg Stadion",50.626389,6.045833
"KV Oostende","Belgium",30.6,30.6,0,":be:","Belgium: 30.6 points","Albertpark",51.216667,2.886389
"La Fiorita","San Marino",1.3,1.33333333333333,0.4,":sm:","San Marino: 1.333 points","Stadio Olimpico",43.97125,12.476972
"Larne FC","Northern Ireland",8.1,8.08333333333333,0.1,":gb-nir:","Northern Ireland: 8.083 points","Inver Park",54.84980278,-5.82625833
"LASK","Austria",38.9,38.85,0.2,":at:","Austria: 38.85 points","Linzer Stadion",48.293333,14.276389
"LASK Linz","Austria",38.9,38.85,0,":at:","Austria: 38.85 points","Linzer Stadion",48.293333,14.276389
"Lazio","Italy",76.9,76.9047619047619,0.1,":it:","Italy: 76.905 points","Stadio Olimpico",41.933872,12.454714
"Lech Poznan","Poland",15.9,15.875,0.2,":pl:","Poland: 15.875 points","Stadion Miejski",52.397222,16.858056
"Lechia Gdansk","Poland",15.9,15.875,0,":pl:","Poland: 15.875 points","Stadion Energa Gdansk",54.39,18.640278
"Legia Warsaw","Poland",15.9,15.875,0.4,":pl:","Poland: 15.875 points","Polish Army Stadium",52.220461,21.040628
"Leicester City","England",106.6,106.642857142857,0,":gb-eng:","England: 106.643 points","Leicester City Stadium",52.620277777,-1.142222222
"Levadia Tallinn","Estonia",7,7.04166666666667,0.1,":ee:","Estonia: 7.042 points","Kadriorg Stadium",59.434472222,24.783444444
"Levski Sofia","Bulgaria",19.5,19.5,0.1,":bg:","Bulgaria: 19.5 points","Georgi Asparuhov Stadium",42.705467,23.363197
"Lille OSC","France",60.1,60.0833333333333,0.1,":fr:","France: 60.083 points","Stade du RCL",50.611944,3.130556
"Lillestrøm SK","Norway",27.2,27.25,0,":no:","Norway: 27.25 points","Åråsen Stadion",59.962752,11.063458
"Lincoln Red Imps","Gibraltar",5.4,5.41666666666667,0.5,":gi:","Gibraltar: 5.417 points","Victoria Stadium",36.149356,-5.350342
"Linfield Belfast","Northern Ireland",8.1,8.08333333333333,0.4,":gb-nir:","Northern Ireland: 8.083 points","Windsor Park",54.5825,-5.955
"Liverpool","England",106.6,106.642857142857,0.2,":gb-eng:","England: 106.643 points","Anfield",53.430833333,-2.960833333
"Lokomotiv Moscow","Russia",34.5,34.4833333333333,0.2,":ru:","Russia: 34.483 points","RZD Arena",55.80355,37.741169
"Lokomotiv Plovdiv","Bulgaria",19.5,19.5,0.1,":bg:","Bulgaria: 19.5 points","Lokomotiv Stadium",42.133889,24.771667
"Lokomotiva Zagreb","Croatia",27.1,27.15,0,":hr:","Croatia: 27.15 points","Stadion Maksimir",45.818858333,16.018077777
"Lokomotivi Tbilisi","Georgia",7,7,0.1,":ge:","Georgia: 7 points","Mikheil Meskhi Stadium",41.709617,44.746247
"Ludogorets Razgrad","Bulgaria",19.5,19.5,0.5,":bg:","Bulgaria: 19.5 points","Ludogorets Arena",43.53361111,26.5275
"Luftëtari Gjirokastër","Albania",8,8,0,":al:","Albania: 8 points","Subi Bakiri Stadium",40.0812,20.1381
"Lyngby BK","Denmark",27.2,27.175,0,":dk:","Denmark: 27.175 points",,,
"Maccabi Haifa","Israel",24.4,24.375,0.2,":il:","Israel: 24.375 points","Sammy Ofer Stadium",32.783111111,34.965166666
"Maccabi Tel-Aviv","Israel",24.4,24.375,0.5,":il:","Israel: 24.375 points","Bloomfield Stadium",32.05173,34.76148
"Makedonija GjP","North Macedonia",7,7,0,":mk:","North Macedonia: 7 points","<U+01F4>orce Petrov Stadium",42.00222222,21.36
"Malmö FF","Sweden",22.9,22.875,0.5,":se:","Sweden: 22.875 points","Swedbank Stadion",55.583611111,12.987777777
"Manchester City","England",106.6,106.642857142857,0.2,":gb-eng:","England: 106.643 points","City of Manchester Stadium",53.483055555,-2.200277777
"Manchester United","England",106.6,106.642857142857,0.1,":gb-eng:","England: 106.643 points","Old Trafford",53.463055555,-2.291388888
"Maritimo Funchal","Portugal",53.4,53.3833333333333,0,":pt:","Portugal: 53.383 points","Estádio dos Barreiros",32.645561,-16.928331
"MFK Ruzomberok","Slovakia",15.6,15.625,0,":sk:","Slovakia: 15.625 points","Štadión MFK Ružomberok",49.0825,19.28388889
"Milsami Orhei","Moldova",11.2,11.25,0,":md:","Moldova: 11.25 points","CSR Orhei",47.3744,28.8192
"Mladá Boleslav","Czech Republic",27.8,27.8,0,":cz:","Czech Republic: 27.8 points","Mestský stadion",50.427083,14.914783
"Mladost Lucani","Serbia",33.4,33.375,0,":rs:","Serbia: 33.375 points","Mladost Stadium",43.860014,20.132608
"Mladost Podgorica","Montenegro",4.9,4.875,0.2,":me:","Montenegro: 4.875 points","Podgorica City Stadium",42.444728,19.264378
"Molde FK","Norway",27.2,27.25,0.3,":no:","Norway: 27.25 points","Aker Stadion",62.73341,7.14813
"Mons Calpe","Gibraltar",5.4,5.41666666666667,0,":gi:","Gibraltar: 5.417 points","Victoria Stadium",36.149356,-5.350342
"Mosta FC","Malta",7,7,0,":mt:","Malta: 7 points","Mosta Ground",35.90472222,14.43472222
"Motherwell","Scotland",36.9,36.9,0,":gb-sct:","Scotland: 36.9 points","Fir Park",55.779947,-3.980078
"MS Ashdod","Israel",24.4,24.375,0,":il:","Israel: 24.375 points","Yud-Alef Stadium",31.8103,34.6483
"MSK Zilina","Slovakia",15.6,15.625,0.1,":sk:","Slovakia: 15.625 points","Štadión pod Dubnom",49.229167,18.744722
"Mura Murska Sobota","Slovenia",15,15,0.2,":si:","Slovenia: 15 points","Fazanerija City Stadium",46.668611,16.1575
"Napoli","Italy",76.9,76.9047619047619,0.1,":it:","Italy: 76.905 points","Stadio Diego Armando Maradona",40.827967,14.193008
"Neftchi Baku","Azerbaijan",17,17,0.2,":az:","Azerbaijan: 17 points","Bakcell Arena",40.400163,49.944019
"Newtown","Wales",5.5,5.5,0,":gb-wls:","Wales: 5.5 points","Latham Park",52.5115,-3.32288
"NK Celje","Slovenia",15,15,0,":si:","Slovenia: 15 points","Stadion Z'dežele",46.246667,15.270278
"NK Domzale","Slovenia",15,15,0.2,":si:","Slovenia: 15 points","Domžale Sports Park",46.136967,14.602343
"NK Maribor","Slovenia",15,15,0.4,":si:","Slovenia: 15 points","Ljudski vrt",46.5625,15.640556
"NK Osijek","Croatia",27.1,27.15,0.1,":hr:","Croatia: 27.15 points","Gradski Vrt Stadium",45.545,18.695833
"NK Rijeka","Croatia",27.1,27.15,0.2,":hr:","Croatia: 27.15 points","Stadion Kantrida",45.339202,14.380959
"Nova Gorica","Slovenia",15,15,0,":si:","Slovenia: 15 points","Nova Gorica Sports Park",45.955931,13.641563
"NSI Runavik","Faroe Islands",7.2,7.25,0.1,":fo:","Faroe Islands: 7.25 points","Runavík Stadium",62.105833,-6.723333
"Odd Grenland","Norway",27.2,27.25,0,":no:","Norway: 27.25 points","Skagerak Arena",59.211111,9.589722
"OFI Heraklion","Greece",28.2,28.2,0,":gr:","Greece: 28.2 points","Pankritio Stadium",35.336666666,25.106111111
"OFK Titograd","Montenegro",4.9,4.875,0.1,":me:","Montenegro: 4.875 points","Omladinski Stadium",44.815456,20.494047
"OGC Nice","France",60.1,60.0833333333333,0,":fr:","France: 60.083 points","Allianz Riviera",43.705138888,7.192583333
"Olimpija Ljubljana","Slovenia",15,15,0.1,":si:","Slovenia: 15 points","Stožice Stadium",46.081111,14.521389
"Olimpik Donetsk","Ukraine",31.8,31.8,0,":ua:","Ukraine: 31.8 points","Olimpik Sports Complex",47.9614,37.808
"Olympiakos Piraeus","Greece",28.2,28.2,0.4,":gr:","Greece: 28.2 points","Karaiskakis Stadium",37.946169,23.664536
"Olympique Lyonnais","France",60.1,60.0833333333333,0.2,":fr:","France: 60.083 points","Parc Olympique Lyonnais",45.765224,4.982131
"Olympique Marseille","France",60.1,60.0833333333333,0.1,":fr:","France: 60.083 points","Stade Vélodrome",43.269722222,5.395833333
"Omonia Nicosia","Cyprus",27.4,27.375,0.1,":cy:","Cyprus: 27.375 points","Dasaki Stadium",35.033889,33.765
"Ordabasy Shymkent","Kazakhstan",15.8,15.75,0.1,":kz:","Kazakhstan: 15.75 points","Kazhimukan Munaitpasov Stadium",42.335493,69.593568
"Östersunds FK","Sweden",22.9,22.875,0.2,":se:","Sweden: 22.875 points","Jämtkraft Arena",63.194722222,14.655833333
"Paços de Ferreira","Portugal",53.4,53.3833333333333,0,":pt:","Portugal: 53.383 points","Estádio da Mata Real",41.271353,-8.385581
"Paide Linnameeskond","Estonia",7,7.04166666666667,0,":ee:","Estonia: 7.042 points","Paide linnastaadion",58.87845,25.54063
"Panathinaikos","Greece",28.2,28.2,0,":gr:","Greece: 28.2 points","Apostolos Nikolaidis Stadium",37.987169444,23.754194444
"Panionios","Greece",28.2,28.2,0,":gr:","Greece: 28.2 points","Nea Smyrni Stadium",37.94303333,23.709225
"PAOK Thessaloniki","Greece",28.2,28.2,0.3,":gr:","Greece: 28.2 points","Toumba Stadium",40.613839,22.972422
"Paris Saint-Germain","France",60.1,60.0833333333333,0.3,":fr:","France: 60.083 points","Parc des Princes",48.841388888,2.253055555
"Partizan Belgrade","Serbia",33.4,33.375,0.3,":rs:","Serbia: 33.375 points","Partizan Stadium",44.788611,20.459167
"Partizani Tirana","Albania",8,8,0.1,":al:","Albania: 8 points","Selman Stërmasi Stadium",41.31898056,19.81138333
"Pelister Bitola","North Macedonia",7,7,0,":mk:","North Macedonia: 7 points","Stadion Tumbe Kafe",41.018056,21.338889
"Petrocub Hîncesti","Moldova",11.2,11.25,0.1,":md:","Moldova: 11.25 points",,,
"Piast Gliwice","Poland",15.9,15.875,0.1,":pl:","Poland: 15.875 points","Stadion Piast",50.306583,18.695866
"Pogon Szczecin","Poland",15.9,15.875,0,":pl:","Poland: 15.875 points","Stadion Florian Kryger",53.43657611,14.51865806
"Progrès Niederkorn","Luxembourg",8.8,8.75,0.2,":lu:","Luxembourg: 8.75 points","Stade Jos Haupert",49.546111111,5.903369444
"PSV Eindhoven","Netherlands",49.3,49.3,0.2,":nl:","Netherlands: 49.3 points","Philips Stadion",51.4417,5.4674
"Puskás Akadémia","Hungary",16.4,16.375,0,":hu:","Hungary: 16.375 points","Pancho Arena",47.464,18.5868
"Pyunik Yerevan","Armenia",8.1,8.125,0.2,":am:","Armenia: 8.125 points","Alashkert Stadium",40.154605,44.475231
"Qarabag FK","Azerbaijan",17,17,0.7,":az:","Azerbaijan: 17 points","Karabakh Stadium",40.4212,49.9968
"Rabotnicki Skopje","North Macedonia",7,7,0.1,":mk:","North Macedonia: 7 points","Toše Proeski Arena",42.005733,21.425592
"Racing Genk","Belgium",30.6,30.6,0.2,":be:","Belgium: 30.6 points","Parc Stenio Vincent",19.448805555,-72.682
"Racing Union Luxembourg","Luxembourg",8.8,8.75,0,":lu:","Luxembourg: 8.75 points","Stade Achille Hammerel",49.604722222,6.140277777
"Radnicki Nis","Serbia",33.4,33.375,0,":rs:","Serbia: 33.375 points","Cair Stadium",43.315528,21.908533
"Radnik Bijeljina","Bosnia-Herzegovina",9.1,9.125,0,":ba:","Bosnia-Herzegovina: 9.125 points","Bijeljina City Stadium",44.75444444,19.225
"Raków Czestochowa","Poland",15.9,15.875,0.1,":pl:","Poland: 15.875 points",,,
"Randers FC","Denmark",27.2,27.175,0.1,":dk:","Denmark: 27.175 points","AutoC Park Randers",56.46583333,10.01027778
"Rangers","Scotland",36.9,36.9,0.5,":gb-sct:","Scotland: 36.9 points","Ibrox Stadium",55.853055555,-4.309166666
"Rapid Wien","Austria",38.9,38.85,0.1,":at:","Austria: 38.85 points","Allianz Stadion",48.1981,16.2653
"RB Leipzig","Germany",75.2,75.2142857142857,0.2,":de:","Germany: 75.214 points","Zentralstadion",51.345833,12.348056
"RC Strasbourg","France",60.1,60.0833333333333,0,":fr:","France: 60.083 points","Stade de la Meinau",48.560064,7.754969
"Real Betis","Spain",96.1,96.1428571428571,0,":es:","Spain: 96.143 points","Ciudad Deportiva Luis Del Sol",37.3517,-5.98222
"Real Madrid","Spain",96.1,96.1428571428571,0.2,":es:","Spain: 96.143 points","Juan Ramón Loubriel Stadium",18.393333,-66.150833
"Real Sociedad","Spain",96.1,96.1428571428571,0,":es:","Spain: 96.143 points","Anoeta Stadium",43.301378,-1.973617
"Renova Dzepciste","North Macedonia",7,7,0.1,":mk:","North Macedonia: 7 points","Gradski stadion Tetovo",42.018692,20.978179
"RFS Riga","Latvia",8.6,8.625,0.1,":lv:","Latvia: 8.625 points","Latvijas Universitates Stadions",56.961479,24.1436899
"Riga FC","Latvia",8.6,8.625,0.3,":lv:","Latvia: 8.625 points","Skonto Stadium",56.961372,24.116408
"Rio Ave","Portugal",53.4,53.3833333333333,0,":pt:","Portugal: 53.383 points","Estádio do Rio Ave FC",41.362756,-8.740186
"RoPS Rovaniemi","Finland",8.9,8.875,0,":fi:","Finland: 8.875 points","Rovaniemen keskuskenttä",66.4997,25.7217
"Rosenborg BK","Norway",27.2,27.25,0.3,":no:","Norway: 27.25 points","Lerkendal Stadion",63.4125,10.405
"Royal Antwerp","Belgium",30.6,30.6,0.1,":be:","Belgium: 30.6 points","Stadion Broodstraat",51.2327,4.471575
"Rubin Kazan","Russia",34.5,34.4833333333333,0,":ru:","Russia: 34.483 points","Central Stadium",55.796944,49.098889
"Rudar Pljevlja","Montenegro",4.9,4.875,0,":me:","Montenegro: 4.875 points","Gradski stadion",43.362349,19.362245
"Rudar Velenje","Slovenia",15,15,0,":si:","Slovenia: 15 points","Ob Jezeru City Stadium",46.372931,15.104184
"Sabail FK","Azerbaijan",17,17,0,":az:","Azerbaijan: 17 points","Bayil Stadium",40.332217,49.817664
"Saburtalo Tbilisi","Georgia",7,7,0.1,":ge:","Georgia: 7 points","Mikheil Meskhi Stadium",41.709617,44.746247
"Samtredia","Georgia",7,7,0,":ge:","Georgia: 7 points","Erosi Manjgaladze Stadium",42.16084,42.33064
"Sant Julià","Andorra",4.7,4.66666666666667,0.1,":ad:","Andorra: 4.667 points","Poliesportiu d'Andorra",42.504833333,1.516638888
"Sarpsborg 08","Norway",27.2,27.25,0.1,":no:","Norway: 27.25 points","Sarpsborg Stadion",59.286217,11.097608
"SC Freiburg","Germany",75.2,75.2142857142857,0,":de:","Germany: 75.214 points","Dreisamstadion",47.988889,7.893056
"SC Gjilani","Kosovo",8.2,8.16666666666667,0.1,":xk:","Kosovo: 8.167 points","City Stadium",42.466667,21.464444
"Schalke 04","Germany",75.2,75.2142857142857,0,":de:","Germany: 75.214 points","Veltins Arena",51.554502777,7.067588888
"SCR Altach","Austria",38.9,38.85,0,":at:","Austria: 38.85 points","Stadion Schnabelholz",47.3536,9.6372
"Sepsi OSK","Romania",17.1,17.15,0,":ro:","Romania: 17.15 points","Stadionul Municipal",45.86291667,25.77613889
"Servette FC Genève","Switzerland",29.7,29.675,0,":ch:","Switzerland: 29.675 points","Stade de Genève",46.177778,6.1275
"Sevilla","Spain",96.1,96.1428571428571,0.1,":es:","Spain: 96.143 points","Ramón Sánchez Pizjuán Stadium",37.383878,-5.970467
"Sfântul Gheorghe","Moldova",11.2,11.25,0,":md:","Moldova: 11.25 points","Suruceni Stadium",46.9844,28.667
"Shakhtar Donetsk","Ukraine",31.8,31.8,0.5,":ua:","Ukraine: 31.8 points","Donbass Arena",48.020833,37.809722
"Shakhtior Saligorsk","Belarus",12.5,12.5,0.2,":by:","Belarus: 12.5 points","Stroitel Stadium",52.798611111,27.538194444
"Shakhtyor Karaganda","Kazakhstan",15.8,15.75,0,":kz:","Kazakhstan: 15.75 points","Shakhtyor Stadium",49.818618,73.075122
"Shamrock Rovers","Ireland",8.1,8.125,0.3,":ie:","Ireland: 8.125 points","Tallaght Stadium",53.2835,-6.37374
"Sheriff Tiraspol","Moldova",11.2,11.25,0.8,":md:","Moldova: 11.25 points","Sheriff Stadium",46.838333,29.5575
"Shirak Gyumri","Armenia",8.1,8.125,0,":am:","Armenia: 8.125 points","Gyumri City Stadium",40.785833,43.833333
"Shkendija Tetovo","North Macedonia",7,7,0.4,":mk:","North Macedonia: 7 points","Gradski stadion Tetovo",42.018692,20.978179
"Sigma Olomouc","Czech Republic",27.8,27.8,0,":cz:","Czech Republic: 27.8 points","Andruv stadion",49.6,17.248333
"Sileks Kratovo","North Macedonia",7,7,0.1,":mk:","North Macedonia: 7 points","Gradski stadion Kratovo",42.0808178,22.1610253
"Sirens FC","Malta",7,7,0,":mt:","Malta: 7 points","Sirens Stadium",35.9453,14.4148
"Siroki Brijeg","Bosnia-Herzegovina",9.1,9.125,0.1,":ba:","Bosnia-Herzegovina: 9.125 points","Stadion Pecara",43.3787,17.598
"Sivasspor","Turkey",27.1,27.1,0.1,":tr:","Turkey: 27.1 points","Sivas 4 Eylül Stadium",39.728612,36.984065
"SJK Seinäjoki","Finland",8.9,8.875,0,":fi:","Finland: 8.875 points","OmaSp Stadion",62.778469444,22.815588888
"SK Brann Bergen","Norway",27.2,27.25,0,":no:","Norway: 27.25 points","Brann Stadion",60.366388888,5.356944444
"Skënderbeu Korçë","Albania",8,8,0.3,":al:","Albania: 8 points","Skënderbeu Stadium",40.625833,20.782778
"Slask Wroclaw","Poland",15.9,15.875,0.1,":pl:","Poland: 15.875 points","Stadion Miejski",51.141797,16.944094
"Slavia Praha","Czech Republic",27.8,27.8,0.4,":cz:","Czech Republic: 27.8 points","Sinobo Stadium",50.066944,14.471389
"Slavia Sofia","Bulgaria",19.5,19.5,0,":bg:","Bulgaria: 19.5 points","Ovcha Kupel Stadium",42.675361,23.272028
"Sligo Rovers","Ireland",8.1,8.125,0,":ie:","Ireland: 8.125 points","The Showgrounds",54.270042,-8.487233
"Slovan Bratislava","Slovakia",15.6,15.625,0.4,":sk:","Slovakia: 15.625 points","Štadión Pasienky",48.166111,17.141111
"Slovan Liberec","Czech Republic",27.8,27.8,0.1,":cz:","Czech Republic: 27.8 points","Stadion u Nisy",50.776214,15.049972
"SønderjyskE","Denmark",27.2,27.175,0,":dk:","Denmark: 27.175 points","Sydbank Park",55.261359,9.487791
"Sparta Praha","Czech Republic",27.8,27.8,0.1,":cz:","Czech Republic: 27.8 points","Letná Stadium",50.099716,14.416122
"Spartak Moscow","Russia",34.5,34.4833333333333,0.2,":ru:","Russia: 34.483 points","Otkrytie Bank Arena",55.8178,37.4403
"Spartak Subotica","Serbia",33.4,33.375,0,":rs:","Serbia: 33.375 points","Subotica City Stadium",46.081781,19.676958
"Spartak Trnava","Slovakia",15.6,15.625,0.2,":sk:","Slovakia: 15.625 points","Štadión Antona Malatinského",48.373333,17.591667
"Spartaks Jurmala","Latvia",8.6,8.625,0.1,":lv:","Latvia: 8.625 points","Sloka",56.9495911,23.6101985
"Speranta Nisporeni","Moldova",11.2,11.25,0,":md:","Moldova: 11.25 points","Stadionul Mircea Eliade",47.078931,28.180499
"Sporting Braga","Portugal",53.4,53.3833333333333,0.2,":pt:","Portugal: 53.383 points","Estádio Municipal de Braga",41.5624,-8.4308
"Sporting CP Lisbon","Portugal",53.4,53.3833333333333,0.2,":pt:","Portugal: 53.383 points","Estádio José Alvalade",38.761194444,-9.160783333
"St Joseph's FC","Gibraltar",5.4,5.41666666666667,0.2,":gi:","Gibraltar: 5.417 points","Victoria Stadium",36.149356,-5.350342
"St. Johnstone","Scotland",36.9,36.9,0,":gb-sct:","Scotland: 36.9 points","McDiarmid Park",56.409686,-3.476928
"St. Patrick's Athletic","Ireland",8.1,8.125,0,":ie:","Ireland: 8.125 points","Richmond Park",53.340922,-6.316619
"Stade de Reims","France",60.1,60.0833333333333,0,":fr:","France: 60.083 points","Stade Auguste Delaune",49.246667,4.025
"Stade Rennais","France",60.1,60.0833333333333,0.1,":fr:","France: 60.083 points","Roazhon Park",48.107472222,-1.712861111
"Standard Liège","Belgium",30.6,30.6,0.1,":be:","Belgium: 30.6 points","Stade Maurice Dufrasne",50.609908,5.543344
"Stjarnan FC","Iceland",5.4,5.375,0.1,":is:","Iceland: 5.375 points","Stjörnuvöllur",64.087423,-21.928865
"Stumbras Kaunas","Lithuania",10,10,0,":lt:","Lithuania: 10 points","Darius and Girenas Stadium",54.897222,23.936944
"Sturm Graz","Austria",38.9,38.85,0,":at:","Austria: 38.85 points","Merkur Arena",47.046111,15.454444
"Suduva Marijampole","Lithuania",10,10,0.4,":lt:","Lithuania: 10 points","ARVI Football Arena",54.574547,23.365392
"Sumgayit FK","Azerbaijan",17,17,0,":az:","Azerbaijan: 17 points","Mehdi Huseynzade Stadium",40.601389,49.674722
"Sutjeska Niksic","Montenegro",4.9,4.875,0.2,":me:","Montenegro: 4.875 points","Gradski stadion",42.784947,18.953731
"Swift Hesperange","Luxembourg",8.8,8.75,0,":lu:","Luxembourg: 8.75 points","Stade Alphonse Theis",49.575353,6.158297
"Teuta Durrës","Albania",8,8,0.1,":al:","Albania: 8 points","Niko Dovana Stadium",41.32583333,19.44944444
"The New Saints","Wales",5.5,5.5,0.5,":gb-wls:","Wales: 5.5 points","Park Hall",52.8759,-3.02631
"Tobol Kustanai","Kazakhstan",15.8,15.75,0.1,":kz:","Kazakhstan: 15.75 points","Kostanay Central Stadium",53.225974,63.636578
"Torino","Italy",76.9,76.9047619047619,0,":it:","Italy: 76.905 points","Stadio Olimpico Grande Torino",45.041667,7.65
"Torpedo Kutaisi","Georgia",7,7,0.1,":ge:","Georgia: 7 points","Ramaz Shengelia Stadium",42.255141666,42.683086111
"Torpedo Zhodino","Belarus",12.5,12.5,0,":by:","Belarus: 12.5 points","Torpedo Stadium",54.092361111,28.319722222
"Tottenham Hotspur","England",106.6,106.642857142857,0.1,":gb-eng:","England: 106.643 points","Tottenham Hotspur Stadium",51.604444444,-0.066388888
"Trabzonspor","Turkey",27.1,27.1,0,":tr:","Turkey: 27.1 points","Senol Günes Stadium",40.9987,39.6463
"Trans Narva","Estonia",7,7.04166666666667,0,":ee:","Estonia: 7.042 points","Narva Kreenholmi Stadium",59.36347,28.18465
"Tre Fiori","San Marino",1.3,1.33333333333333,0.4,":sm:","San Marino: 1.333 points","Stadio Olimpico",43.97125,12.476972
"Tre Penne","San Marino",1.3,1.33333333333333,0.1,":sm:","San Marino: 1.333 points","Stadio Fonte dell'Ovo",43.9296,12.4427
"Trepça'89","Kosovo",8.2,8.16666666666667,0,":xk:","Kosovo: 8.167 points","Riza Lushta Stadium",42.88805556,20.86141667
"TSC Backa Topola","Serbia",33.4,33.375,0,":rs:","Serbia: 33.375 points","Stadion Slavko Maletin Vava",45.240278,19.381667
"TSV Hartberg","Austria",38.9,38.85,0,":at:","Austria: 38.85 points","Stadion Hartberg",47.281,15.9772
"UE Engordany","Andorra",4.7,4.66666666666667,0.3,":ad:","Andorra: 4.667 points","Estadi Comunal d'Aixovall",42.476389,1.487667
"UE Santa Coloma","Andorra",4.7,4.66666666666667,0,":ad:","Andorra: 4.667 points","Estadi Comunal d'Aixovall",42.476389,1.487667
"Újpest TE","Hungary",16.4,16.375,0,":hu:","Hungary: 16.375 points","Ferenc Szusza Stadium",47.574892,19.08465
"Union Berlin","Germany",75.2,75.2142857142857,0,":de:","Germany: 75.214 points","Stadion An der Alten Försterei",52.457222,13.568056
"Union Titus Pétange","Luxembourg",8.8,8.75,0,":lu:","Luxembourg: 8.75 points","Stade Municipal, Pétange",49.557211111,5.856486111
"Universitatea Craiova","Romania",17.1,17.15,0.1,":ro:","Romania: 17.15 points","Stadionul Ion Oblemenco",44.313889,23.784167
"Urartu FC","Armenia",8.1,8.125,0,":am:","Armenia: 8.125 points","Urartu Stadium",40.171426,44.449938
"Valencia","Spain",96.1,96.1428571428571,0.1,":es:","Spain: 96.143 points","Estadio Misael Delgado",10.223403,-68.0115
"Vålerengens IF","Norway",27.2,27.25,0,":no:","Norway: 27.25 points","Mjörnvallen Idrottsplats",57.930595168,12.504277315
"Valletta FC","Malta",7,7,0.2,":mt:","Malta: 7 points","Ta' Qali National Stadium",35.894863888,14.415372222
"Valmieras FK","Latvia",8.6,8.625,0,":lv:","Latvia: 8.625 points","Örjans Vall",56.684166666,12.866388888
"Valur Reykjavik","Iceland",5.4,5.375,0.2,":is:","Iceland: 5.375 points","KR-völlur",64.145683,-21.967728
"Vardar Skopje","North Macedonia",7,7,0.2,":mk:","North Macedonia: 7 points","Toše Proeski Arena",42.005733,21.425592
"Vasas Budapest","Hungary",16.4,16.375,0,":hu:","Hungary: 16.375 points","Hidegkuti Nándor Stadion",47.490919444,19.106725
"Velez Mostar","Bosnia-Herzegovina",9.1,9.125,0.1,":ba:","Bosnia-Herzegovina: 9.125 points","Stadion pod Bijelim Brijegom",43.345556,17.795278
"VfL Wolfsburg","Germany",75.2,75.2142857142857,0,":de:","Germany: 75.214 points","Volkswagen Arena",52.431944,10.803889
"Videoton Fehérvár","Hungary",16.4,16.375,0.2,":hu:","Hungary: 16.375 points","Sóstói Stadion",47.17369444,18.41536111
"Viitorul Constanta","Romania",17.1,17.15,0.1,":ro:","Romania: 17.15 points","Viitorul Stadium",44.26388889,28.55583333
"Viking Stavanger","Norway",27.2,27.25,0,":no:","Norway: 27.25 points","Viking Stadion",58.914611,5.730442
"Víkingur","Faroe Islands",7.2,7.25,0.1,":fo:","Faroe Islands: 7.25 points","Víkingsvöllur",64.117222,-21.852778
"Vikingur Reykjavik","Iceland",5.4,5.375,0,":is:","Iceland: 5.375 points","KR-völlur",64.145683,-21.967728
"Viktoria Plzen","Czech Republic",27.8,27.8,0.2,":cz:","Czech Republic: 27.8 points","Doosan Arena",49.75,13.385556
"Villarreal","Spain",96.1,96.1428571428571,0.1,":es:","Spain: 96.143 points","Estadio de la Cerámica",39.944167,-0.103611
"Vitesse Arnhem","Netherlands",49.3,49.3,0.1,":nl:","Netherlands: 49.3 points","GelreDome",51.9625,5.893056
"Vitória Guimarães","Portugal",53.4,53.3833333333333,0,":pt:","Portugal: 53.383 points","Afonso Henriques Stadium",41.445833,-8.301111
"Vllaznia Shkodër","Albania",8,8,0,":al:","Albania: 8 points","Loro Boriçi Stadium",42.070031,19.506558
"Vojvodina Novi Sad","Serbia",33.4,33.375,0,":rs:","Serbia: 33.375 points","Detelinara Stadium",44.765156,20.472153
"Vorskla Poltava","Ukraine",31.8,31.8,0,":ua:","Ukraine: 31.8 points","Oleksiy Butovskyi Vorskla Stadium",49.594833,34.549444
"VPS Vaasa","Finland",8.9,8.875,0.1,":fi:","Finland: 8.875 points","Hietalahti Stadium",63.085278,21.627778
"West Ham United","England",106.6,106.642857142857,0,":gb-eng:","England: 106.643 points","London Stadium",51.538611111,-0.016388888
"Willem II Tilburg","Netherlands",49.3,49.3,0,":nl:","Netherlands: 49.3 points","Koning Willem II Stadion",51.542778,5.066944
"Wolfsberger AC","Austria",38.9,38.85,0.1,":at:","Austria: 38.85 points","Lavanttal-Arena",46.8253,14.8514
"Wolverhampton Wanderers","England",106.6,106.642857142857,0,":gb-eng:","England: 106.643 points","Molineux Stadium",52.590277777,-2.130277777
"Yeni Malatyaspor","Turkey",27.1,27.1,0,":tr:","Turkey: 27.1 points","Malatya Inönü Stadium",38.352178,38.330494
"Young Boys","Switzerland",29.7,29.675,0.4,":ch:","Switzerland: 29.675 points","Stadion Wankdorf",46.962778,7.465
