"country","team","overall_points_team","status","overall_points_country","percentage","flag","text"
"Germany","1.FC Köln",0,"not out",2.5,0,":de:","Germany: 2.5 points"
"Germany","Bayern München",0.5,"not out",2.5,0.2,":de:","Germany: 2.5 points"
"Germany","Eintracht Frankfurt",0.5,"not out",2.5,0.2,":de:","Germany: 2.5 points"
"Germany","Borussia Dortmund",0.5,"not out",2.5,0.2,":de:","Germany: 2.5 points"
"Germany","SC Freiburg",0,"not out",2.5,0,":de:","Germany: 2.5 points"
"Germany","Union Berlin",0,"not out",2.5,0,":de:","Germany: 2.5 points"
"Germany","RB Leipzig",0.5,"not out",2.5,0.2,":de:","Germany: 2.5 points"
"Germany","Bayer Leverkusen",0.5,"not out",2.5,0.2,":de:","Germany: 2.5 points"
"England","Chelsea",0.571428571428571,"not out",2.28571428571429,0.25,":gb-eng:","England: 2.286 points"
"England","Manchester United",0,"not out",2.28571428571429,0,":gb-eng:","England: 2.286 points"
"England","West Ham United",0,"not out",2.28571428571429,0,":gb-eng:","England: 2.286 points"
"England","Arsenal",0,"not out",2.28571428571429,0,":gb-eng:","England: 2.286 points"
"England","Tottenham Hotspur",0.571428571428571,"not out",2.28571428571429,0.25,":gb-eng:","England: 2.286 points"
"England","Manchester City",0.571428571428571,"not out",2.28571428571429,0.25,":gb-eng:","England: 2.286 points"
"England","Liverpool",0.571428571428571,"not out",2.28571428571429,0.25,":gb-eng:","England: 2.286 points"
"Italy","Napoli",0.571428571428571,"not out",2.28571428571429,0.25,":it:","Italy: 2.286 points"
"Italy","AC Milan",0.571428571428571,"not out",2.28571428571429,0.25,":it:","Italy: 2.286 points"
"Italy","Fiorentina",0,"not out",2.28571428571429,0,":it:","Italy: 2.286 points"
"Italy","Juventus",0.571428571428571,"not out",2.28571428571429,0.25,":it:","Italy: 2.286 points"
"Italy","AS Roma",0,"not out",2.28571428571429,0,":it:","Italy: 2.286 points"
"Italy","Internazionale",0.571428571428571,"not out",2.28571428571429,0.25,":it:","Italy: 2.286 points"
"Italy","Lazio",0,"not out",2.28571428571429,0,":it:","Italy: 2.286 points"
"Spain","Real Betis",0,"not out",2.28571428571429,0,":es:","Spain: 2.286 points"
"Spain","FC Barcelona",0.571428571428571,"not out",2.28571428571429,0.25,":es:","Spain: 2.286 points"
"Spain","Sevilla",0.571428571428571,"not out",2.28571428571429,0.25,":es:","Spain: 2.286 points"
"Spain","Villarreal",0,"not out",2.28571428571429,0,":es:","Spain: 2.286 points"
"Spain","Real Sociedad",0,"not out",2.28571428571429,0,":es:","Spain: 2.286 points"
"Spain","Atlético Madrid",0.571428571428571,"not out",2.28571428571429,0.25,":es:","Spain: 2.286 points"
"Spain","Real Madrid",0.571428571428571,"not out",2.28571428571429,0.25,":es:","Spain: 2.286 points"
"Iceland","KR Reykjavik",0.333333333333333,"out",1.83333333333333,0.181818181818182,":is:","Iceland: 1.833 points"
"Iceland","Vikingur Reykjavik",0.833333333333333,"not out",1.83333333333333,0.454545454545455,":is:","Iceland: 1.833 points"
"Iceland","Breidablik",0.666666666666667,"not out",1.83333333333333,0.363636363636364,":is:","Iceland: 1.833 points"
"France","OGC Nice",0,"not out",1.33333333333333,0,":fr:","France: 1.333 points"
"France","Olympique Marseille",0.666666666666667,"not out",1.33333333333333,0.5,":fr:","France: 1.333 points"
"France","Paris Saint-Germain",0.666666666666667,"not out",1.33333333333333,0.5,":fr:","France: 1.333 points"
